# of adv guards,adv guard bw,# of adv exits,adv exit bw,# of nodes,# of paths,# of trees,% bandwidth of adversary exit nodes among other exit nodes,% bandwidth of adversary entry nodes among other entry nodes,% bandwidth of adversary nodes among all nodes,% of paths with an adversary exit node,% of paths with an adversary entry node,% of paths with both aversary exit and entry node,% of paths with both aversary exit midle and entry node,% of trees with an adversary exit node,% of trees with an adversary entry node,% of trees with an adversary entry and exit node,% of trees with an adversary entry middle and exit node,average number of adversary middle nodes,average number of adversary exit nodes,
200,10000,328,15000,7273,100,100,14.693237894183063,2.3212210894959906,6.7500584362898515,21.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,5,74,
200,10000,329,15000,7274,100,100,14.731435190147902,2.3212210894959906,6.763700426257471,15.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,3,74,
200,10000,330,15000,7275,100,100,14.769598294675328,2.3212210894959906,6.777338425302092,18.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,9,77,
200,10000,331,15000,7276,100,100,14.807727253653326,2.3212210894959906,6.790972435174757,13.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,7,85,
200,10000,332,15000,7277,100,100,14.84582211288781,2.3212210894959906,6.804602457625483,19.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,11,84,
200,10000,333,15000,7278,100,100,14.883882918102797,2.3212210894959906,6.818228494403268,27.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,5,70,
200,10000,334,15000,7279,100,100,14.921909714940593,2.3212210894959906,6.831850547256081,13.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,10,61,
200,10000,335,15000,7280,100,100,14.959902548961974,2.3212210894959906,6.845468617930873,23.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,97,78,
200,10000,336,15000,7281,100,100,14.997861465646372,2.3212210894959906,6.859082708173574,21.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,11,67,
200,10000,337,15000,7282,100,100,15.035786510392048,2.3212210894959906,6.872692819729092,20.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,9,62,
200,10000,338,15000,7283,100,100,15.073677728516286,2.3212210894959906,6.886298954341315,29.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,98,76,
200,10000,339,15000,7284,100,100,15.111535165255559,2.3212210894959906,6.899901113753113,16.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,12,86,
200,10000,340,15000,7285,100,100,15.14935886576572,2.3212210894959906,6.913499299706339,20.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,11,72,
200,10000,341,15000,7286,100,100,15.187148875122176,2.3212210894959906,6.927093513941824,22.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,13,75,
200,10000,342,15000,7287,100,100,15.224905238320071,2.3212210894959906,6.9406837581993885,18.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,9,77,
200,10000,343,15000,7288,100,100,15.26262800027446,2.3212210894959906,6.954270034217831,16.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,4,78,
200,10000,344,15000,7289,100,100,15.30031720582049,2.3212210894959906,6.967852343734939,22.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,3,80,
200,10000,345,15000,7290,100,100,15.337972899713575,2.3212210894959906,6.981430688487483,29.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,10,81,
200,10000,346,15000,7291,100,100,15.37559512662958,2.3212210894959906,6.99500507021122,12.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,8,65,
200,10000,347,15000,7292,100,100,15.413183931164987,2.3212210894959906,7.008575490640896,29.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,1,82,
